am_id,am_name,am_region
AM001,Emma Lindgren,Nordics & DACH
AM002,Lars Johansson,UK & Southern Europe
AM003,Sofia Bergström,North America
AM004,Marcus Holm,APAC & LATAM
AM005,Anna Karlsson,Nordics & DACH
AM006,Erik Nilsson,UK & Southern Europe
AM007,Maria Svensson,North America
AM008,Johan Andersson,APAC & LATAM
AM009,Olivia Schmidt,Nordics & DACH
AM010,Thomas Müller,UK & Southern Europe
AM011,Sara Hansen,North America
AM012,David Cohen,APAC & LATAM
AM013,Isabella Ferrari,Nordics & DACH
AM014,James Thompson,UK & Southern Europe
